original,modern translation
이젹의길동이집을ᄯᅥᄂᆞᄉᆞ방으로쥬류ᄒᆞ더니일일은ᄒᆞᆫ고ᄃᆡ이르니만쳡산장이하날의다흔듯ᄒᆞ고초목이무셩ᄒᆞ여동셔을분별치못ᄒᆞᄂᆞᆫ즁의ᄒᆡᆺ빗츤셰양이되고인ᄀᆞᄯᅩᄒᆞᆫ업슨이진퇴유곡이라ᄇᆡ야으로쥬져ᄒᆞ더니ᄒᆞᆫ고듸바ᄅᆞ보니고히ᄒᆞᆫ표ᄌᆞ셰ᄂᆡᆫ물을조ᄎᆞᄯᅥ오거날인ᄀᆞ잇ᄂᆞᆫ쥴짐작ᄒᆞ고시ᄂᆡ물을조ᄎᆞ슈리을드러ᄀᆞ니산쳔이열이인고듸슈ᄇᆡᆨ인ᄀᆞ쥴비ᄒᆞ거날길동이그촌즁의드러ᄀᆞ니ᄒᆞᆫ고ᄃᆡ슈ᄇᆡᆨ인이모와ᄌᆞᆫᄎᆡ을ᄇᆡ셜ᄒᆞ고ᄇᆡ반이낭ᄌᆞᄒᆞᆫ듸공논이분운ᄒᆞ더라,"이때에 길동이 집을 떠나 사방으로 주류하더니, 일일은 한 곳에 이르니 만첩산장이 하늘에 닿은 듯하고, 초목이 무성하여 동서를 분별치 못하는 중에 햇빛은 세양이 되고 인가 또한 없으니 진퇴유곡이라. 바야흐로 주저하더니, 한 곳을 바라보니 괴이한 표자 시냇물을 쫓아 떠오거늘, 인가 있는줄 짐작하고 시젓물을 쫓아 수리를 들어가니, 산천이 열린 곳에 수백 인가 즐비하거늘. 길동이 그 촌중에 들어가니, 한 곳에 수백 인이 모여 잔치를 배설하고 배반이 낭자한대 공론이 분운하더라."
원ᄂᆡᄎᆞ촌은젹굴이라이날맛ᄎᆞᆷ장슈을졍ᄒᆞ려ᄒᆞ고공논이분운ᄒᆞ더니길동이말을듯고ᄂᆡ렴의혀아리되ᄂᆡ지쳐업ᄂᆞᆫᄌᆡ초로위연이이고ᄃᆡ당ᄒᆞ엿스니이ᄂᆞᆫ날노ᄒᆞ여곰하날이지시ᄒᆞ시미로다몸을녹님의붓쳐남아의지긔을펴리라ᄒᆞ고좌즁의나ᄋᆞᄀᆞ셩명을통ᄒᆞ여왈나ᄂᆞᆫ경셩홍승상의아ᄌᆞ로셔ᄉᆞᄅᆞᆷ을쥭이고망명도쥬ᄒᆞ야ᄉᆞ방의쥬류ᄒᆞ옵더니오날날하날니지시ᄒᆞᄉᆞ위연이이고ᄃᆡ이르러시니녹님호걸의읏듬장슈되미엇더ᄒᆞᆫ요ᄒᆞ며ᄌᆞ쳥ᄒᆞ니좌즁졔인이이ᄯᆡ슐이취ᄒᆞ여바야으로공논달난ᄒᆞ더니불의예ᄂᆞᆫᄃᆡ업는총각아희드러와ᄌᆞ쳥ᄒᆞᄆᆡ셔로도라보며ᄭᅮ지져왈우리슈ᄇᆡᆨ인이다졀인지력을ᄀᆞ져스되지금두ᄀᆞ지일을ᄒᆡᆼᄒᆞ리업셔유예미결ᄒᆞ거니와너ᄂᆞᆫ엇더ᄒᆞᆫ아ᄒᆡ로셔감히우리년셕의들입ᄒᆞ여언ᄉᆞ이럿ᄐᆞᆺ괴만ᄒᆞ뇨인명을ᄉᆡᆼ각ᄒᆞ야살여보ᄂᆡ니급피도라ᄀᆞ라ᄒᆞ고등미러ᄂᆡ치거날,"원래 차촌은 적굴이라. 이날 마침 장수를 정하려 하고 공론이 분운하더니 길동 이 말을 듣고 내념에 해아리되,
""내 지처없는 처지로 위연이 이 곳에 당하였으니 이는 나로하여금 하늘이 지시하심이로다. 몸을 녹림에 붙여 남아의 지기를 펴리라.""
하고 좌중에 나아가 성명을 통하여 왈,
""나는 경성 홍승상의 아자로서 사람을 죽이고 망명도주하여 사방에 주류하옵더니, 오늘날 하늘이 지시하사 위연이 이 곳에 이르렀으니 녹림호걸의 으뜸 장수됨이 어려하노?""
하며 자청하니. 좌중제인이 이때 술이 취하여 바야흐로 공론 달난하더니, 불의에 난데없는 총각아이 들어와 자청하매 서로 돌아보며 꾸짖어 왈,
""우리 수백 인이 다 절인지력을 가졌으되 지금 두 가지 일을 행할이 없어 유예미결하거니와, 너는 어떠한 아이로서 감히 우리 연석에 돌입하여 언사 이렇듯이 괴망하뇨? 인명을 생각하여 살려보내니 급히 돌아가라.""
하고 등 밀어 내치거늘,"
길동이듥문밧긔나와큰남글ᄭᅥᆨ거글을쓰되용이엿튼믈의ᄌᆞᆷ겨시니어별이침노이며범이집푼슘풀을일희ᄆᆡ여히와톡긔의조롱을보ᄂᆞᆫᄯᅩᄃᆞ오ᄅᆡ지아니녀셔풍운을어드면그볏화측냥키어려오리로다ᄒᆞ엿더니ᄒᆞᆫ군ᄉᆞ그글을등셔ᄒᆞ여좌즁의드리니상좌의ᄒᆞᆫᄉᆞᄅᆞᆷ이그글을보다ᄀᆞ여러ᄉᆞᄅᆞᆷ의게쳥ᄒᆞ여왈그아히거동이비범ᄒᆞᆯᄲᅮᆫ아니라더옥키홍승상의ᄌᆞ졔라ᄒᆞ니슈ᄌᆞ을쳥ᄒᆞ여그ᄌᆡ조을시험ᄒᆞᆫ후의쳐치ᄒᆞ미ᄒᆡ롭지아니타ᄒᆞ니좌즁졔인이응낙ᄒᆞ여즉시길동을쳥ᄒᆞ여좌상의안치고이로ᄃᆡ즉금우리의논이두ᄀᆞ지라ᄒᆞᆫ나흔이압푸초부석이라ᄒᆞ난돍긔잇스니즁이쳔여근이라좌즁으셔ᄂᆞᆫ용이케들ᄉᆞᄅᆞᆷ이업고두른경상도합쳔ᄒᆡ인ᄉᆞ의누거만ᄌᆡ니스도즁이슈쳔명이라그졀을치고ᄌᆡ믈을아슬모ᄎᆡᆨ이업ᄂᆞᆫ지라슈ᄌᆡ이두ᄀᆞ지을능히ᄒᆡᆼᄒᆞ면오ᄂᆞᆯ봇텀장슈을봉ᄒᆞ리라ᄒᆞ거날길동이이말을듯고우셔왈ᄃᆡ장부셰상의쳐ᄒᆞᄆᆡ맛당이상통쳔문ᄒᆞ고부찰지리ᄒᆞ고즁찰인의ᄒᆞᆯ지라엇지이만일을겁ᄒᆞ리요ᄒᆞ고직시팔을것고그고듸나아ᄀᆞ초부셕을드러팔우의언고슈십보을ᄒᆡᆼᄒᆞ다ᄀᆞ도로그ᄌᆞ리예노흐되일분계우ᄂᆞᆫ긔ᄉᆡᆨ이업스니모든ᄉᆞᄅᆞᆷ이ᄃᆡᄎᆞᆫ왈실노장ᄉᆞ로다ᄒᆞ고상좌의안치고슐을권ᄒᆞ며장슈라일카러치하분분ᄒᆞᄂᆞᆫ지라,"길동이 돌문 밖에 나와 큰 나무를 꺾어 글을 쓰되,
""용이 얕은 물에 잠기어 있으니 어별이 침노하며, 범이 깊은 수풀을 잃으매 여우와 토끼의 조롱을 보는도다. 오래지 아니해서 풍운을 얻으면 그 변화 측량키 어려우리로다.""
하였더니, 한 군사 그 글을 등서하여 좌중에 드리니, 상좌의 한 사람이 그 글을 보다가 여러 사람에게 청하여 왈,
""그 아이 거동이 비범할 뿐 아니라, 더우기 홍승상의 자제라 하니 수자를 청하여 그 재주를 시험한 후에 처치함이 해롭지 아니하다.""
하니, 좌중제인이 응락하여 즉시 길동을 청하여 좌상에 앉히고 이르되,
""즉금 우리 의논이 두 가지라. 하나는 이 앞의 초부석이라 하는 돌이 있으니 중이 천여근이라 좌중에서는 용이케 들 사람이 없고, 둘은 경상도 합천 해인사에 누거만재이나 수도중이 수천 명이라 그 절을 치고 재물을 앗을 모책이 없는지라. 수자가 이 두 가지틀 능히 행하면 오늘부터 장수를 봉하리라.""
하거늘,
길동이 이 말을 듣고 웃어 왈,
""대장부 세상에 처하매 마땅히 상통천문하고, 부찰지리하고. 중찰인의할지라. 어찌 이만 일을 겁하리요.""
하고, 즉시 팔을 걷고 그 곳에 나아가 초부석을 들어 팔 위에 얹고 수 십 보를 행하다가 도로 그 자리에 놓으되 일분 겨워하는 기색이 없으니 모든 사람이 대찬 왈,
""실로 장사로다!""
하고, 상좌에 앉히고 술을 권하며 장수라 일컬어 치하 분분하는지라."
길동이군ᄉᆞ을명ᄒᆞ여ᄇᆡᆨ마을ᄌᆞ바피를마셔ᄆᆡᆼ셰ᄒᆞᆯᄉᆡ졔군으게호령왈우리슈ᄇᆡᆨ인이오ᄂᆞᆯ븟텀ᄉᆞᄉᆡᆼ고락을ᄒᆞᆫᄀᆞ지ᄒᆞᆯ지니만일약속을ᄇᆡ반ᄒᆞ고영을어긔오ᄂᆞᆫᄌᆡ잇스면군법으로시ᄒᆡᆼᄒᆞ리라ᄒᆞ니졔군이일시예쳥영ᄒᆞ고즐긔더라슈일후의졔군의게분부왈ᄂᆡ합쳔ᄒᆡ인ᄉᆞ의ᄀᆞ모ᄎᆡᆨ을졍ᄒᆞ고오리라ᄒᆞ고셔동복ᄉᆡᆨ으로ᄂᆞ귀을타고종ᄌᆞ슈인을다리고ᄀᆞ니완연ᄒᆞᆫᄌᆡ상의ᄌᆞ졔리라,"길동이 군사를 명하여 백마를 잡아 피를 마셔 맹세할새 제군에게 호령 왈,
""우리 수백 인이 오늘부터 사생고락을 한가지로 할지니 만일 약속을 배반하고 영을 어기는 자가 있으면 군법으로 시행하리라.""
하니, 제군이 일시에 청령하고 즐기더라.
수일 후에 제군에게 분부 왈,
""내 합천 해인사에 가 모책을 정하고 오리라.""
하고, 서동복색으로 나귀를 타고 종자 수인을 데리고 가니 완연한 재상의 자제이더라."
ᄒᆡ인ᄉᆞ의노문ᄒᆞ되경셩호승상ᄃᆡᆨᄌᆞ졔공부ᄎᆞ로오신다ᄒᆞ니ᄉᆞ즁졔승노문을듯고의논ᄒᆞ되ᄌᆡ상ᄀᆞᄌᆞ졔졀의거쳐ᄒᆞ시면그심이젹지아니ᄒᆞ리로다ᄒᆞ고일시의동구밧긔마ᄌᆞ문안ᄒᆞ니길동이흔연이ᄉᆞ즁의드러ᄀᆞ좌졍후의졔승을ᄃᆡᄒᆞ여왈ᄂᆡ드르니네졀이경셩의유명ᄒᆞ긔로소문을놉피듯고먼ᄃᆡ을헤아리지아니ᄒᆞ고ᄒᆞᆫ번귀경도ᄒᆞ고공부도ᄒᆞ려ᄒᆞ야왓시니너의도괴로히ᄉᆡᆼ갹지말ᄲᅮᆫ더러ᄉᆞ즁의머무ᄂᆞᆫ잡인을일졔믈이치라ᄂᆡ아모고을아즁의ᄀᆞ본관을보고ᄇᆡᆨ미이십셕을보ᄂᆡᆯ거시니아모날음식을작만ᄒᆞ라ᄂᆡ너희로더부러승속지분의을바리고동낙ᄒᆞᆫ후의그날봇텀공부ᄒᆞ리라ᄒᆞ니졔승이황공슈명ᄒᆞ더라,"해인사에 노문하되,
""경성 홍승상댁 자제 공부차로 오신다.""
하니 사중 제승 노문을 듣고 의논하되,
""재상가 자제 절에 거처하시면 그 힘이 적지 아니하리로다.""
하고 일시에 동구 밖에 맞아 문안하니, 길동이 혼연히 사중에 돌아가 좌정 후에 제승을 대하여 왈,
""내 들으니 네 절이 경성에 유명하기로 소문을 높이 듣고 먼 데를 헤아리지 아니하고 한 번 구경도 하고 공부도 하려하여 왔으니, 너희도 괴로히 생각지 말 뿐더러 사중에 머무는 잡일을 일체 물리치라. 내 아무 고을 아중에 가 본관을 보고 백미 이십 석을 보낼 것이 니 아무날 음식을 장만하라. 내 너회와 더불어 승속지분의를 버리고 동락한 후에 그날부터 공부하리라.""
하니, 제승이 황공 수명하더라."
명당ᄉᆞ면으로단이며두류살핀후의도라와젹군슈십인의게ᄇᆡᆨ미이십셕을보ᄂᆡ며왈아모아즁의셔보ᄂᆡ더라이르니라졔승이엇지ᄃᆡ젹의흉계을아리요ᄒᆡᆼ여분부을어긔일ᄀᆞ념예ᄒᆞ여그ᄇᆡᆨ미로즉시음식을쟉만ᄒᆞ며일변ᄉᆞ즁의머무ᄂᆞᆫ잡인을다보ᄂᆡ니라긔약ᄒᆞᆫ날의길동이졔젹의게분부ᄒᆞ되이졔ᄒᆡ인ᄉᆞ의가졔승을다졀박ᄒᆞᆯ거시니너희등이근쳐의ᄆᆡ복ᄒᆞ엿다ᄀᆞ일시의졀의드러와ᄌᆡ믈을슈탐ᄒᆞ여ᄀᆞ지고ᄂᆡ의ᄀᆞ르치ᄂᆞᆫᄃᆡ로ᄒᆡᆼᄒᆞ되부ᄃᆡ영을어기지말나ᄒᆞ고장ᄃᆡᄒᆞᆫᄒᆞ인십여인을거ᄂᆞ리고ᄒᆡ인ᄉᆞ을향ᄒᆞ니라,"(법)당 사면으로 다니며 두루 살핀후에 돌아와 적군 수십인에게 백미 이십석을 보내며 왈,
""아무 아중에서 보내더라.""
이르니라. 제승이 어찌 대적의 흉계를 알리요. 행여 분부를 어길까 염려하여 그 백미로 즉시 음식을 장만하며, 일변 사중에 머무는 잡인을 다 보내니라.
기약한 날에 길동이 제적에게 분부하되,
""이제 해인사에 가 제승을 다 결박할 것이니 너희등이 근처에 매복하였다가 일시에 절에 들어와 재물을 수탐하여 가지고 나의 가르치는 대로 행하되 부디 영을 어기지 말라.""
하고, 장대한 하인 십여인을 거느리고 해인사로 향하니라."
잇ᄯᆡ졔승이동구밧긔나와ᄃᆡ후ᄒᆞ는지라길동이드러ᄀᆞ분부왈ᄉᆞ즁졔승이노소업시ᄒᆞᆫᄂᆞ도ᄲᆞ지지말고일졔히졀뒤벽계로모희라오날은너희와ᄒᆞᆷ긔종일포취ᄒᆞ고노리라ᄒᆞ니즁드리먹긔도위ᄒᆞᆯᄲᅮᆫ더러분부을어긔오면ᄒᆡᆼ여죄잇슬ᄀᆞ져위ᄒᆞ야일시의슈쳔졔승이벽계로모흐니ᄉᆞ즁은통이비엿ᄂᆞᆫ지라길동이좌상의안고졔승을ᄎᆡ례로안친후의각각상을ᄇᆞᄃᆞ슐도권ᄒᆞ며즐긔ᄃᆞᄀᆞ이윽ᄒᆞ야식상을드리거날길동이ᄉᆞᄆᆡ로셔모ᄅᆡ을ᄂᆡ여입의넛코씨부니돌ᄭᆡ지ᄂᆞᆫ소ᄅᆡ예제승이혼블부신ᄒᆞᄂᆞᆫ지라길동이ᄃᆡ로왈ᄂᆡ너희로더부러승속지분의을ᄇᆞ니고즐긘후의유ᄒᆞ여공부ᄒᆞ렷더니이완만ᄒᆞᆫ즁놈드리날을슈히보고음식의부졍ᄒᆞ미이갓ᄐᆞ니ᄀᆞ이통분ᄒᆞᆫ지라다려ᄀᆞᆺ든ᄒᆞ인을호렁ᄒᆞ여졔승을일졔결박ᄒᆞ라ᄌᆡ촉이셩화ᄀᆞ튼지라ᄒᆞ인이일시예다려졀승을졀박ᄒᆞᆯᄉᆡ엇지일분ᄉᆞ졍이잇스리요,"이때 제승이 동구 밖에 나와 대후하는지라. 길동이 들어가 분부 왈,
""사중 제승이 노소없이 하나도 빠지지 말고 일제히 절 뒤 벽계로 모이라. 오늘은 너희와 함께 종일 포취하고 놀리라.""
하니, 중들이 먹기도 위할 뿐떠러 분부를 어기면 행여 죄 있을까 저어하여 일시에 수천 제승이 벽계로 모이니 사중은 통 비었는지라. 길동이 좌상에 앉고 제승을 차례로 앉힌 후에 각각 상을 받아 술도 권하며 즐기다가 이윽하여 식상을 드리거늘, 길동이 소매로부터 모래를 내어 입에 넣고 씹으니 돌깨지는 소리에 제승이 혼불부신하는지라. 길동이 대로 왈,
""내 너희로 더불어 승속지분의를 버리고 즐긴 후에 유하여 공부하렸더니 이 완만한 중놈들이 나를 수이 보고 음식의 부정함이 이 같으니 가히 통분한지라.""
데리고 갔던 하인을 호령하여,
""제승을 일제히 곁박하라.""
재촉이 성화같은지라. 하인이 일시에 달려듈어 절승을 결박할새 어찌 일분 사정이 있으리요."
잇ᄯᆡ의졔젹이동구ᄉᆞ면의ᄆᆡ복ᄒᆞ엿다ᄀᆞ이긔미을탐지ᄒᆞ고일시의달녀들어고을열고슈만금ᄌᆡ물을졔것ᄀᆞ져ᄀᆞ다시우마의실고간들ᄉᆞ지을요동치못ᄒᆞᄂᆞᆫ즁드리엇지금단ᄒᆞ리요다만입으로원통타ᄒᆞᄂᆞᆫ소ᄅᆡ동중이문허지는듯ᄒᆞ더라이ᄯᆡᄉᆞ즁의ᄒᆞᆫ목공이잇셔이즁의ᄎᆞᆷ예치아니ᄒᆞ고졀을직키다ᄀᆞ난ᄃᆡ업ᄂᆞᆫ도젹이드러와고를열고졔것ᄀᆞ져ᄀᆞ다시ᄒᆞᄆᆡ급피도망ᄒᆞ여합쳔관가의ᄀᆞ이연유을알외니합쳔원이ᄃᆡ경일변관인을보ᄂᆡ며ᄯᅩ일변관군을조발ᄒᆞ여츄종ᄒᆞᄂᆞᆫ지라모든도젹이ᄌᆡ믈을실ᄭᅩ우마을몰ᄂᆞ나셔벼멸니ᄇᆞᄅᆞ보니슈쳔군ᄉᆞ풍우ᄀᆞᆺ치모라오ᄆᆡᄯᅴ글이ᄒᆞ날의다ᄒᆞᆫ듯ᄒᆞ더라졔젹이ᄃᆡ겁ᄒᆞ야갈ᄇᆞ를아지못ᄒᆞ고도로혀길동을원망ᄒᆞᄂᆞᆫ지라,"이때 제적이 동구 사면에 매복하였다가 이 기미를 탐지하고, 일사에 달려들어 고를 열고 수만금 재물을 제 것 가져가듯이 우마에 싣고 간들 사지를 요동치 못하는 중들이 어찌 금단하리오. 다만 입으로 원통하다 하는 소리 동중이 무너지는 듯 하더라. 이때 사중에 한 목공이 있어 이 중에 참여치 아니하고 절을 지키다가 난데없는 도적이 들어와 고를 열고 제 것 가져가듯이 하매, 급히 도망하여 합천 관가에 가 이 연유를 아뢰니, 합천원이 대경, 일변 관인을 보내며, 또 일변 관군을 조발하여 추종하는지라. 모든 도적이 재물을 싣고 우마를 몰아 나서며 멀리 바라보너 수천 군사 풍우같이 몰려오매 티끌이 하늘에 닿은 듯 하더라. 제적이 대겁하여 갈 바를 알지 못하고 도리어 길동을 원망하는지라."
길동이소왈너희엇지ᄂᆡ의비계을아니요염녀말고남편ᄃᆡ로로ᄀᆞ라ᄂᆡ져오ᄂᆞᆫ관군을북편소로로ᄀᆞ게ᄒᆞ리라ᄒᆞ고볍당의드러ᄀᆞ즁의장ᄉᆞᆷ을입고ᄭᅩᆺ갈을쓰고놉푼봉의올ᄂᆞ관군을불너위여왈도젹이북편소로로ᄀᆞᆺᄉᆞ오니이리로오지말고그리ᄀᆞ포착ᄒᆞ옵소셔ᄒᆞ며장ᄉᆞᆷ소ᄆᆡ을날여북편소로를ᄀᆞ르치니관군이오다ᄀᆞ남노를바리고노승의ᄀᆞ르치ᄂᆞᆫᄃᆡ로북평소로로ᄀᆞ거을길동이나려와츅지법을ᄒᆡᆼᄒᆞ야졔젹을인도ᄒᆞ야동즁으로도라오니졔젹이치하분분ᄒᆞ더라이젹의합쳔원이관군모라도젹을츄둉ᄒᆞ되ᄌᆞ최을보지못ᄒᆞ고도라오ᄆᆡ일읍이소동ᄒᆞᄂᆞᆫ지라이연유을감영의장문ᄒᆞ니감ᄉᆞ듯고놀ᄂᆡ여각읍의발포ᄒᆞ여도젹을ᄌᆞ부되종시형지을몰나도뢰분쥬ᄒᆞ더라,"길동이 소왈,
""너희가 어찌 나의 비계를 알리요? 염려말고 남편 대로로 가라. 내 저 오는 관군을 북편 소로로 가게 하리라.""
하고, 법당에 들어가 중의 장삼을 입고, 고갈을 쓰고, 높은 봉에 올라 관군을 불러 외쳐 왈,
""도적이 북편 소로로 갔사오니 이리로 오지 말고 그리 가 포착하옵소서.""
하며, 장삼 소매를 날려 북편 소로를 가리키니, 관군이 오다가 남로를 버리고 노승의 가리키는 대로 북편 소로로 가거늘, 길동이 내려와 축지법을 행하여 제적을 인도하여 동중으로 돌아오니 제적이 치하 분분하더라.
이때에 합천 원이 관군을 몰아 도적을 추종하되 자취를 보지 못하고 돌아오매 일읍이 소동하는지라. 이 연유를 감영에 장문하니, 감사 듣고 놀래어 각 읍에 발포하여 도적을 잡되 종시 형적을 몰라 도로 분주하더라."
일일은길동이졔적을블너의논왈우리비록녹님의몸을븟쳑시나다나라ᄇᆡᆨ셩이라셰ᄃᆡ로이나ᄅᆞ슈토을먹으니만일위ᄐᆡᄒᆞᆫ시졀을당ᄒᆞ면맛당이시셕을무릅씨고인군을도을지니엇지병볍을심쓰지아니ᄒᆞ리요이졔군긔을도모ᄒᆞᆯ모ᄎᆡᆨ이잇시니아모날함경감영남문밧긔능소근쳐의시초을슈운ᄒᆞ엿다ᄀᆞ그날밤ᄉᆞᆷ경의블을노흐되능소의ᄂᆞᆫ볌치못ᄒᆞ졔ᄒᆞ라나난나문군ᄉᆞ을거ᄂᆞ리고지다려감영의드러ᄀᆞ군긔와창고을탈취ᄒᆞ리라약속을졍ᄒᆞᆫ후의긔약ᄒᆞᆫ날의군ᄉᆞ을두초의난호와ᄒᆞᆫ초ᄂᆞᆫ시쵸을슈운ᄒᆞ라ᄒᆞ고ᄯᅩᄒᆞᆫ초난길동이거나려ᄆᆡ복ᄒᆞ엿다ᄀᆞᄉᆞᆷ경이되ᄆᆡ능소근쳐의화광이등쳔ᄒᆞ어거을길동이급피드러ᄀᆞ관문을두다리며소ᄅᆡᄒᆞ되능소의불리낫ᄉᆞ오니급피구완ᄒᆞ옵소셔감ᄉᆞ잠결의ᄃᆡ경ᄒᆞ여나셔보니과연화광이창쳔ᄒᆞᆫ지라,"일일은 길동이 제적을 불러 의논 왈,
""우리, 비록 녹림에 몸을 붙였으나 다 나라 백성이라. 세대로 나라 수토를 먹으니 만일 위태한 시절을 당하면 마땅히 시석을 무릅쓰고 민군을 도울지니 어찌 형법을 힘쓰지 아니하리요? 이제 군기를 도모할 모책이 있으니, 아무날 함경감영 남문 밖의 능소 근처에 시초를 수운하였다가 그날밤 삼경에 불을 놓으되 능소에는 범치 못하게 하라. 나는 남은 군사를 거느리고 기다려 감영에 틀어가 군기와 창고를 탈취하리라.""
약속을 정한 후에 기약한 날에 군사를 두 초로 나누어 한 초는 시초를 수운하라 하고, 또 한 초는 길동이 거느려 매복하였다가 삼경이 되매 능소 근처에 화광이 등천하였거늘, 길동이 급히 들어가 관문을 두드리며 소리하되,
""능소에 불이 났사오니 급히 구원하옵소서.""
감사 잠결에 대경하여 나화서 보니 과연 화광이 창천한지라."
ᄒᆞ인을거ᄂᆞ리고ᄂᆞᄀᆞ며일변군ᄉᆞ을조발ᄒᆞ니셩즁이물ᄭᅳᆯ틋ᄒᆞᄂᆞᆫ지라ᄇᆡᆨ셩들도다능소의ᄀᆞ고셩즁이공허허여노약만나맛ᄂᆞᆫ지라길동이졔젹을거ᄂᆞ리고일시의달여드러창곡과군긔을도젹ᄒᆞ야ᄀᆞ지고츅지볍을ᄒᆡᆼᄒᆞ야순식의동즁으로도라오니라이젹의감ᄉᆞ불을구ᄒᆞ고도라오니창곡직킨군ᄉᆞ알의되도젹이드러와챵고을얼고군긔와곡식을도젹ᄒᆞ여ᄀᆞᆺ난이다ᄒᆞ거날크게놀ᄂᆡ여ᄉᆞ방으로군ᄉᆞ를발포ᄒᆞ여슈탐ᄒᆞ되형젹이업난지라변괸쥴알고이연유을나라의쥬문ᄒᆞ니라,"하인을 거느리고 나가며, 일변 군사를 조발하니 성중이 물 끓는 듯 하는지라. 백성들도 다 능소에 가고 성중이 공허하여 노약자만 남았는지라. 길동이 제적을 거느리고 일시에 달려들어 창곡좌 군기를 도적하여 가지고 축지법을 행하여 순식에 동중으로 돌아오더라.
이때에 감사 불을 구하조 돌아오니 창곡 지킨 군사 아뢰되,
""도적이 들어와 창고를 열고 군기와 곡식을 도적하여 갔나이다.""
하거늘, 크게 놀래어 사방으로 군사를 발포하여 수탐하되 형적이 없는지라. 변괴인 줄 알고 이 연유를 나라에 주문하니라."
이날밤의길동이동즁의도라와잔ᄎᆡ을베풀고질긔벼왈우리이졔난ᄇᆡᆨ셩의ᄌᆡ믈은츄호도탈ᄎᆔ치말고각읍슈령과방ᄇᆡᆨ의준민고ᄐᆡᆨᄒᆞᄂᆞᆫᄌᆡ믈을노략ᄒᆞ야혹블상ᄒᆞᆫᄇᆡᆨ셩을구졔ᄒᆞᆯ지니이동호를활빈당이라ᄒᆞ리라ᄒᆞ고ᄯᅩ가로ᄃᆡ함경감영으셔군긔와곡식을일코우리종젹은아지못ᄒᆞᄆᆡ져간의ᄋᆡᄆᆡᄒᆞᆫᄉᆞᄅᆞᆷ이허다히상할지라ᄂᆡ몸의죄을지혀ᄋᆡᄆᆡᄒᆞᆫᄇᆡᆨ셩으게도라보ᄂᆡ면ᄉᆞᄅᆞᆷ은비록아지못ᄒᆞᄂᆞ쳔별이두렵지아니ᄒᆞ랴ᄒᆞ고즉시감령북문의쎠븟치되창곡과군긔도젹ᄒᆞ긔난활빈당장슈홍길동이라ᄒᆞ여더라,"이날 밤에 길동이 동중에 돌아와 잔치를 베풀고 즐기며 왈,
""우리 이제는 백성의 재물은 추호도 탈취치 말고, 악 읍 수령과 방백의 준민고택하는 재물을 노략하여 혹 불쌍한 백성을 구제할지니, 이 동호를 활빈당이라 하리라.""
하고, 또 가로되,
""함경감영에서 군기와 곡식을 잃고 우리 종적은 알지 못하매 저간에 애매한 사람이 허다히 상할지라. 내 몸의 죄를 지어 애매한 백성에게 돌려보내면 사람은 비록 알지 못하나 천벌이 두렵지 아니하랴?""
하고, 즉시 감영 북문에 써 붙이되,
""창곡좌 군기 도적하기는 활빈당 당수 홍길동이라.""
하였더라,"
일일은길동이ᄉᆡᆼ각ᄒᆞ되ᄂᆡ의팔ᄌᆞ무상ᄒᆞ여집을도망ᄒᆞ여몸을녹님호결의븟쳐시나본심이아니라입신양명ᄒᆞ여우희로임군을도와ᄇᆡᆨ셩을건지고부모으게영화을뵈일거시여ᄂᆞᆯ남의쳔ᄃᆡ를분이녀겨이지경이이르럿시니ᄎᆞ라리일노인ᄒᆞ여큰일홈을어더후셰예젼ᄒᆞ리라ᄒᆞ고초인일곱을망그라각각군ᄉᆞ오십명식영거ᄒᆞ야팔도의분발할ᄉᆡ다각긔혼ᄇᆡᆨ을븟쳐조화무궁ᄒᆞ니군ᄉᆞ셔로의심ᄒᆞ여어ᄂᆡ도로ᄀᆞ난거시ᄎᆞᆷ길동인쥴을모로더라,"일일은 길동이 생각하되,
""나외 팔자 무상하여 집을 도망하여 몸을 녹림호걸에 붙였으나 본심이 아니라. 입신양명하여 위로 임금을 도와 백성을 건지고 부모에게 영화를 뵈일 것이거늘, 남의 천대를 분히 여겨 이 지경에 이르렀으니 차라리 이로 인하여 큰 이름을 얻어 후세에 전하리라.""
하고, 초인 일곱을 만들어 각각 군사 오십 명씩 영거하여 팔도에 분발할새, 다 각기 혼백을 붙여 조화무궁하니 군사 서로 의심하여 어느 도로 가는 것이 참 길동인 줄을 모르더라."
